airline,stops,min_price,max_price,avg_price
AirAsia,Con escalas,5949,15244,8594.75
AirAsia,Directo,5956,6349,6064.428571428572
Air_India,Con escalas,5955,31260,14246.828358208955
Air_India,Directo,5955,6795,5977.7027027027025
GO_FIRST,Con escalas,5954,23491,10332.15
GO_FIRST,Directo,5954,7110,6069.6
Indigo,Con escalas,5955,15720,10593.656565656565
Indigo,Directo,5955,15720,6407.910447761194
SpiceJet,Con escalas,5955,15720,9578.833333333334
SpiceJet,Directo,5953,10260,6045.041666666667
Vistara,Con escalas,8948,29160,13555.46357615894
Vistara,Directo,5955,15720,6630.542168674699
